Código da notícia 2022,Data da notícia,Região,UF,MUNICÍPIO,ID,Ação Matriz,Ação derivada,Nome do movimento,Cadastrar novo movimento,Datas da ação,ODS,Cadastrar nova pauta,Pautas da ação,Data incompleta,Bioma
FLO010722C,"jul. 1, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,16; Paz Justiça e Instituições Eficazes,,"Racismo institucional​
Racismo étnico​
Políticas indigenistas​
Direitos originários​",,NI
FLO100122C,"jan. 10, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa,Nota técnica,Outros,Conselho Indigenista Missionário,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122A,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Nota de Repúdio,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122B,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122C,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO030822C,"ago. 3, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Campanha,Outros,Coordenação Nacional de Articulação de Quilombos (CONAQ); Confederação Nacional dos Trabalhadores Rurais (CONTAG); Comissão Pastoral da Terra (CPT); Conselho Indigenista Missionário (CIMI); Povo Guarani Kaiowá; Comunidade de Alegrias,Data inicial: 02/08/2022 Data final: 02/08/2022,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis
12; Consumo e Produção Responsáveis
16; Paz Justiça e Instituições Eficazes",,"Preservação ambiental​
Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Segurança Territorial​",,Cerrado
FLO280422A,"abr. 28, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Negociação,Articulação dos Povos Indígenas do Brasil (APIB),,Data inicial: 12/04/2022 Data final: 12/04/2022,"10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Políticas indigenistas​
Direitos originários​",,NI
FLO1200922F,"set. 12, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Interseccionalidade institucional , Participação em Audiência Publica,Povo Pataxó,,Data inicial: 12/09/2022 Data final: 12/09/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO090322A,"mar. 9, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Deslocamento Coletivo ,Caravana,Outros,Povo Tupinambá de Olivença;  PovoPataxó; Povo Tupinambá; Povo Pataxó Hã-Hã-Hãe; Povo Kamakã; Povo Kiriri do norte e do oeste da Bahia; Povo Atikum; Povo Tumbalalá; Povo Truká,Data inicial: 07/03/2022 Data final: 14/03/2022,"13; Ação Contra Mudança Global do Clima
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Combate ao garimpo​
Demarcação de terras​
Direito ao território​
Saúde indígena​
Segurança Territorial​
Mineração​",,Cerrado
FLO211122A,"nov. 21, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Articulação,NI,,Data inicial: 14/11/2022 Data final: 18/11/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre",,Saúde indígena​,,Cerrado
FLO150922A,"set. 15, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Deslocamento Coletivo , Marcha,Outros,Povo Apãnjekra Canela; Povo Memortumré Canela; Povo Akroá Gamella;  Povo Tremembé do Engenho; Povo Kari’u Kariri; Povo Macuxi; Povo Pataxó; Povo Xakriabá; Conselho Indigenista Missionário.,Data inicial: 15/09/2022 Data final: 15/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO150922B,"set. 15, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Reivindicação de Ato do Judiciário,Outros,Líderanças Guarani Kaiowá; lideranças Guarani Nhandeva; lideranças Guarani Mbya,Data inicial: 15/09/2022 Data final: 15/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Marco temporal​
Direito ao território​
Segurança Territorial​
Direitos originários​",,Cerrado
FLO150922C,"set. 15, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Paraestatal, Elaboração de Relatórios,Outros,Conselho Indigenista Missionário,Data inicial: 15/09/2022 Data final: 15/09/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre",,"Políticas indigenistas​
Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO120922H,"set. 12, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,Povo Apãnjekra Canela; Povo Memortumré Canela; Povo Akroá Gamella; Povo Tremembé do Engenho; Povo Kari’u Kariri; Povo Macuxi; Povo Pataxó; Povo Xakriabá.,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Autonomia
Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO160922A,"set. 16, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Reivindicação de Ato do Judiciário,Outros,Povo Apãnjekra Canela; Povo Memortumré Canela; Povo Akroá Gamella; Povo Tremembé do Engenho; Povo Kari’u Kariri; Povo Macuxi; Povo Pataxó; Povo Xakriabá.,Data inicial: 15/09/2022 Data final: 15/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Direito ao território​
Direitos originários​",,Cerrado
FLO050422A,"abr. 5, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Evento ,Plenária,"Articulação dos Povos Indígenas do Brasil (APIB)
Outros",,Data inicial: 05/04/2022 Data final: 05/04/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Defesa ambiental​
Demarcação de terras​
Direitos originários​",,NI
FLO050422B,"abr. 5, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa,Lançamento de carta aberta,"Articulação dos Povos Indígenas do Brasil (APIB)
Outros",,,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Combate ao garimpo​
Demarcação de terras​
Direitos originários​",,NI
FLO060422B,"abr. 6, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Ocupação de espaço público ou privado , Acampamento,"Articulação dos Povos Indígenas do Brasil (APIB)
Outros",Acampamento Terra Livre,Data inicial: 04/04/2022 Data final: 22/04/2022,"3; Saúde e Bem-Estar
4; Educação de Qualidade
5; Igualdade de Gênero
10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
13; Ação Contra Mudança Global do Clima
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Combate ao garimpo​
Defesa ambiental​
Questões de gênero​
Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Saúde indígena​
Idiomas indígenas​
Mineração​
Cultura​
Mudanças Climáticas​
Desmatamento​
Direitos originários​
Patrimônio territorial​
Florestania​
Saberes tradicionais​",,NI
FLO120722A,"jul. 12, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa,Nota técnica,Outros,Conselho Indigenista Missionário (CIMI),undefined,"14; Vida na Água
15; Vida Terrestre",,"Políticas indigenistas​
Segurança Territorial​",,NI
FLO091122A,"nov. 9, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Evento , Fórum,Articulação dos Povos Indígenas do Brasil (APIB),,Data inicial: 03/11/2022 Data final: 05/11/2022,"13; Ação Contra Mudança Global do Clima
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Direito ao Território; Retomada; Interrupção da Agneda Anti-indígenas,"Outros
Preservação ambiental​
Demarcação de terras​
Políticas indigenistas​",,Cerrado
FLO190922A,"set. 19, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Denúncia,"Outros
Articulação dos Povos Indígenas do Brasil (APIB)",Povo Karipuna; Povo Piripkura; Povo Uru-Eu-Wau-Wau.,Data inicial: 19/09/2022 Data final: 23/09/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Saúde indígena​
Segurança Territorial​
Desmatamento​
Patrimônio territorial​",,Cerrado
FLO140922E,"set. 14, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Reivindicação de Ato do Judiciário,Povo Pataxó,,Data inicial: 13/09/2022 Data final: 13/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO081222A,"dez. 8, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Ofício,Outros,Povo Jaminawa; Povo Apurinã; Povo Kanamari; Povo Nawa; Povo Nukini; Povo Manchineri; Povo Kuntanawa; Povo Sharanawa; Povo Shanenawa; Povo Apolima-Arara; Povo Huni Kuin; Povo Jamamadi; Povo Apinajé; Povo Karajá; Povo Krahô; Povo Xerente; Povo Krahô Kanela; Povo Kanela do Tocantins; Povo Takaywrá; Povo Tapuia; Povo Xokleng,Data inicial: 08/12/2022 Data final: 08/12/2022,"16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Direitos originários​",,Cerrado
FLO081222B,"mai. 29, 2023",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Envio de Delegação Diplomática,Outros,Povo Jaminawa; Povo Apurinã; Povo Kanamari; Povo Nawa; Povo Nukini; Povo Manchineri; Povo Kuntanawa; Povo Sharanawa; Povo Shanenawa; Povo Apolima-Arara; Povo Huni Kuin; Povo Jamamadi; Povo Apinajé; Povo Karajá; Povo Krahô; Povo Xerente; Povo Krahô Kanela; Povo Kanela do Tocantins; Povo Takaywrá; Povo Tapuia; Povo Xokleng,Data inicial: 05/12/2022 Data final: 10/12/2022,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Cultura​
Direitos originários​",,Cerrado
FLO081222E,"dez. 8, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Denúncia,Outros,Povo Kuntanawa; Povo Huni Kuin; Povo Krahô Kanela; Povo Krahô; Povo Terena,Data inicial: 07/12/2022 Data final: 07/12/2022,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Combate ao garimpo​
Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Saúde indígena​
Segurança Territorial​
Cultura​
Educação​
Direitos originários​
Patrimônio territorial​
Saberes tradicionais​",,Cerrado
FLO210922B,"set. 21, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Carta Pública de Denúncia,Outros,Povo Karipuna e suas lideranças,Data inicial: 21/09/2022 Data final: 21/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Racismo étnico​
Segurança Territorial​
Direitos originários​",,Cerrado
FLO201222A,"dez. 20, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Evento , Seminário,Outros,Comitê dos Povos e Comunidades Tradicionais do Pampa (CPCTP).,Data inicial: 13/12/2022 Data final: 15/12/2022,10; Redução das Desigualdades,,"Direito ao território​
Cultura​
Saberes tradicionais​",,NI
FLO201222B,"dez. 20, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Carta Cosmopolítica,Outros,Comitê dos Povos e Comunidades Tradicionais do Pampa (CPCTP).,Data inicial: 13/12/2022 Data final: 15/12/2022,15; Vida Terrestre,,"Defesa ambiental​
Direito ao território​
Desmatamento​",,NI
FLO100822C,"ago. 10, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Ocupação de espaço público ou privado ,Ocupação temporária de espaço público ,Outros,Coordenação Nacional de Articulação das Comunidades Negras Rurais Quilombolas (Conaq); Aquilombar,Data inicial: 10/08/2022 Data final: 10/08/2022,"11; Cidades e Comunidades Sustentáveis
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Direito ao território​
Saúde quilombola​
Segurança Territorial​",,NI
FLO021222E,"dez. 2, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,Povo Kayapó,Data inicial: 02/12/2022 Data final: 02/12/2022,8; Trabalho Decente e Crescimento Econômico,Antidemocrática,Outros,,NI
FLO061222C,"dez. 6, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Articulação,Outros,Povo Jaminawa; Povo Apurinã; Povo Kanamari; Povo Nawa; Povo Nukini; Povo Manchineri; Povo Kuntanawa; Povo Sharanawa; Povo Shanenawa; Povo Apolima-Arara; Povo Huni Kuin; Povo Jamamadi; Povo Apinajé; Povo Karajá; Povo Krahô; Povo Xerente; Povo Krahô Kanela; Povo Kanela do Tocantins; Povo Takaywrá; Povo Tapuia; Povo Xokleng; Conselho Indigenista Missionário (CIMI),Data inicial: 06/12/2022 Data final: 06/12/2022,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis
12; Consumo e Produção Responsáveis
13; Ação Contra Mudança Global do Clima
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Combate ao garimpo​
Preservação ambiental​
Políticas indigenistas​
Saúde indígena​
Segurança Territorial​
Cultura​
Direitos originários​
Patrimônio territorial​",,"Amazônia
Cerrado
Mata Atlântica"
FLO220522A,"mai. 22, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Interseccionalidade institucional , Participação em Audiência Publica,Outros,comunidade Pantaneira de Barra de São Lourenço; povo Krahô- TO; Quilombo Cocalinho,Data inicial: 19/06/2022 Data final: 19/06/2022,13; Ação Contra Mudança Global do Clima,queimada,Defesa ambiental​,,"Amazônia
Cerrado
Pantanal"
FLO230522G,"mai. 23, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Entrevista Concedida,Outros,Povo Xakriabá/ Célia Xakriabá,,"5; Igualdade de Gênero
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",,"Racismo institucional​
Defesa ambiental​
Preservação ambiental​
Questões de gênero​
Direitos originários​",NI/05/2022,NI
FLO140722D,"jul. 14, 2022",Centro-oeste , Goiás , Alto Paraíso de Goiás,5200605,Evento ,Conferência,Outros,Povo Fulni-ô; Povo Kayapó Mebêngôkré; Povo Xavante; Povo Guarani Mbyá; Povo Kariri Xocó; Povo Krahô,Data inicial: 15/07/2022 Data final: 22/07/2022,10; Redução das Desigualdades,,Cultura​,,NI
FLO110822A,"ago. 11, 2022",Centro-oeste , Goiás , Anápolis,5201108,Interseccionalidade institucional , Participação em Audiência Publica,Outros,Povo Tapuia,Data inicial: 11/08/2022 Data final: 11/08/2022,16; Paz Justiça e Instituições Eficazes,,"Autonomia
Racismo institucional​
Racismo étnico​
Direito ao território​
Direitos originários​",,Cerrado
FLO040122A,"jan. 4, 2022",Centro-oeste , Goiás , Cavalcante,5205307,Arrecadação de Recursos ou Execução de Serviços , Campanha de Solidariedade Socioeconômica,Outros,Associação Quilombo de Cavalcante- GO,,"10; Redução das Desigualdades
15; Vida Terrestre",,Outros,NI/01/2022,Cerrado
FLO110722A,"jul. 11, 2022",Centro-oeste , Goiás , Goiânia,5208707,Interseccionalidade institucional , Participação em Audiência Publica,NI,Comunidades Tradicionais,Data inicial: 08/07/2022 Data final: 10/07/2022,"10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",,"Defesa ambiental​
Demarcação de terras​
Direito ao território​
Saberes tradicionais​",,Cerrado
FLO120922C,"set. 12, 2022",Centro-oeste , Mato Grosso , Alto Boa Vista,5100359,Comunicativa, Nota de Repúdio,Outros,,Data inicial: 11/09/2022 Data final: 11/09/2022,"3; Saúde e Bem-Estar
10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Racismo institucional​
Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Saúde indígena​
Direitos originários​
Patrimônio territorial​
Saberes tradicionais​",,"Amazônia
Cerrado"
FLO120922D,"mai. 16, 2023",Centro-oeste , Mato Grosso , Alto Boa Vista,5100359,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,,Data inicial: 11/09/2022 Data final: 11/09/2022,"3; Saúde e Bem-Estar
10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Racismo institucional​
Políticas indigenistas​
Direito ao território​
Saúde indígena​
Direitos originários​
Patrimônio territorial​
Florestania​",,"Amazônia
Cerrado"
FLO230922C,"set. 23, 2022",Centro-oeste , Mato Grosso , Alto Boa Vista,5100359,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,Povo Xavante e lideranças,,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Saúde indígena​
Segurança Territorial​",NI/09/2022,Amazônia
FLO200922C,"set. 20, 2022",Centro-oeste , Mato Grosso , Alto Boa Vista,5100359,Encontro , Reunião de Articulação,Outros,Povo Xavante e lideranças,Data inicial: 18/09/2022 Data final: 18/09/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Saúde indígena​
Direitos originários​",,Amazônia
FLO220122C,"jan. 22, 2022",Centro-oeste , Mato Grosso , Aripuanã,5101407,Encontro , Reunião de Negociação,Outros,Associação do Povo Arara do Rio Branco,Data inicial: 20/01/2022 Data final: 20/01/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Infraestrutura,Outros,,Amazônia
FLO090922A,"set. 9, 2022",Centro-oeste , Mato Grosso , Barra do Garças,5101803,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,,undefined,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,Saúde indígena​,,Cerrado
FLO260422D,"abr. 26, 2022",Centro-oeste , Mato Grosso , Barão de Melgaço,5101605,Judicialização ,Reintegração de posse,Outros,Indígenas da Terra Indígena Baía dos Guató,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Segurança Territorial​
Direitos originários​",NI/04/2022,Pantanal
FLO030922A,"set. 3, 2022",Centro-oeste , Mato Grosso , Canarana,5102702,Comunicativa, Nota de Repúdio,Outros,,Data inicial: 02/09/2023 Data final: 02/09/2023,15; Vida Terrestre,,Autonomia,,"Amazônia
Cerrado"
FLO291122C,"nov. 29, 2022",Centro-oeste , Mato Grosso , Cuiabá,5103403,Encontro , Reunião de Articulação,Outros,Líder Indígena Taravy Kayabi,Data inicial: 29/11/2022 Data final: 29/11/2022,16; Paz Justiça e Instituições Eficazes,Ampliação Econômica; Autonomia Econômica,Outros,,NI
FLO270922A,"set. 27, 2022",Centro-oeste , Mato Grosso , Feliz Natal,5103700,Evento , Seminário,Outros,Comunidades de agricultura familiar; Comunidade de agricultura urbana; Comunidades coletoras; Ativistas; Técnicos em agroecologia; Comunidades indígenas; Povo Ikpeng,Data inicial: 08/09/2022 Data final: 10/09/2022,"2; Fome Zero e Agricultura Sustentável
15; Vida Terrestre",,"Direito ao território​
Mudanças Climáticas​
Educação​
Patrimônio territorial​
Saberes tradicionais​",,Amazônia
FLO030122A,"jan. 3, 2022",Centro-oeste , Mato Grosso , Gaúcha do Norte,5103858,Comunicativa, Live e Produção de Conteúdo,Outros,Povo Wuaja,undefined,15; Vida Terrestre,,"Autonomia
Idiomas indígenas​
Cultura​
Saberes tradicionais​",,"Amazônia
Cerrado"
FLO151122C,"nov. 15, 2022",Centro-oeste , Mato Grosso , Gaúcha do Norte,5103858,Comunicativa, Entrevista Concedida,Outros,Ianukula Kaiabi (Presidente da Associação do Terra Indígena do Xingu),Data inicial: 15/11/2022 Data final: 15/11/2022,"3; Saúde e Bem-Estar
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",COP27; Segurança Alimentar; Agronegócio,"Preservação ambiental​
Saúde indígena​
Cultura​
Mudanças Climáticas​
Desmatamento​",,Cerrado
FLO280122B,"jan. 28, 2022",Centro-oeste , Mato Grosso , Jaciara,5104807,Comunicativa, Carta Pública de Denúncia,Outros,Movimento de Moradores,Data inicial: 27/01/2022 Data final: 28/01/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Defesa ambiental​
Preservação ambiental​
Desmatamento​",,Cerrado
FLO041122A,"nov. 4, 2022",Centro-oeste , Mato Grosso , Luciara,5105309,Comunicativa, Entrevista Concedida,Outros,Vandermiro Pereira Rocha (Povo Kanela do Araguaia),Data inicial: 04/11/2022 Data final: 04/11/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Invasão; Agronegócio,"Outros
Direitos originários​",,Cerrado
FLO160722A,"jul. 26, 2022",Centro-oeste , Mato Grosso , Nova Xavantina,5106257,Evento , Assembleia,Outros,Conselho Indigenista Missionário (CIMI),undefined,"10; Redução das Desigualdades
15; Vida Terrestre",,"Defesa ambiental​
Direito ao território​
Direitos originários​",,NI
FLO260722B,"jul. 26, 2022",Centro-oeste , Mato Grosso , Nova Xavantina,5106257,Comunicativa, Carta Cosmopolítica,Outros,Conselho Indigenista Missionário (CIMI),undefined,"10; Redução das Desigualdades
15; Vida Terrestre",,"Defesa ambiental​
Políticas indigenistas​
Direitos originários​",,NI
FLO230322D,"mar. 23, 2022",Centro-oeste , Mato Grosso , Porto Alegre do Norte,5106778,Evento , Assembleia,Outros,Prelazia de São Félix do Araguaia (MT),,"1; Erradicação da Pobreza
2; Fome Zero e Agricultura Sustentável
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Defesa ambiental​
Preservação ambiental​
Direito ao território​
Agrotóxicos ​
Desmatamento​",N.I.,Cerrado
FLO200122A,"jan. 20, 2022",Centro-oeste , Mato Grosso , Porto Alegre do Norte,5106778,Judicialização ,Boletim de ocorrência,Outros,Povo Kanela do Araguaia,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Autonomia
Direito ao território​
Segurança Territorial​
Direitos originários​",,Cerrado
FLO301022A,"out. 30, 2022",Centro-oeste , Mato Grosso , Querência,5107065,Comunicativa, Entrevista Concedida,Outros,Lideranças indígenas denunciam falta de transporte para votação no Mato Grosso,Data inicial: 30/10/2022 Data final: 30/10/2022,16; Paz Justiça e Instituições Eficazes,Não conseguiram votar; Transporte; Agronegócio,Outros,,NI
FLO301022A,"out. 30, 2022",Centro-oeste , Mato Grosso , Querência,5107065,Comunicativa, Entrevista Concedida,Outros,Povo Kayabi,,16; Paz Justiça e Instituições Eficazes,Obstrução/Impedição de direito,"Outros
Direitos originários​",N.I.,Amazônia
FLO270122D,"jan. 27, 2022",Centro-oeste , Mato Grosso , Rondolândia,5107578,Arrecadação de Recursos ou Execução de Serviços , Mutirão,Outros,Povo Paiter Suruí; Associação Metareilá,Data inicial: 26/01/2022 Data final: 15/02/2022,"11; Cidades e Comunidades Sustentáveis
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",,Cultura​,,"Amazônia
NI"
FLO270922B,"set. 27, 2022",Centro-oeste , Mato Grosso , Santo Antônio do Leverger,5107800,Encontro ,Reunião de negociação,Outros,Movimento de pescadores; Associação de Moradores das Comunidades de Varginha e Mimoso.,,"11; Cidades e Comunidades Sustentáveis
14; Vida na Água
15; Vida Terrestre",,"Autonomia
Preservação ambiental​",NI/09/2022,Pantanal
FLO230922L,"jun. 13, 2023",Centro-oeste , Mato Grosso , Sapezal,5107875,Encontro ,Reunião de negociação,Outros,Liderança do Povo Enawerê-Nawê,Data inicial: 21/09/2022 Data final: 21/09/2022,15; Vida Terrestre,,"Autonomia
Direito ao território​",,Cerrado
FLO230322C,"mar. 23, 2022",Centro-oeste , Mato Grosso , São Félix do Araguaia,5107859,Comunicativa, Nota de Repúdio,Outros,Prelazia de São Félix do Araguaia (MT),Data inicial: 12/03/2022 Data final: 12/03/2022,"1; Erradicação da Pobreza
2; Fome Zero e Agricultura Sustentável
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Outros
Defesa ambiental​
Preservação ambiental​
Direito ao território​
Agrotóxicos ​
Desmatamento​",,Cerrado
FLO290622A,"jun. 29, 2022",Centro-oeste , Mato Grosso do Sul , Amambai,5000609,Ritual , Ritual Indígena,Outros,Povo Guarani Kaiowá,Data inicial: 24/06/2022 Data final: 01/07/2022,16; Paz Justiça e Instituições Eficazes,Retomada de terras,"Segurança Territorial​
Direitos originários​",,
FLO290622B,"jun. 29, 2022",Centro-oeste , Mato Grosso do Sul , Amambai,5000609,Comunicativa, Entrevista concedida,Outros,Assembleia Aty Guasu,Data inicial: 29/06/2022 Data final: 29/06/2022,16; Paz Justiça e Instituições Eficazes,Retomada de terras;,"Segurança Territorial​
Direitos originários​",,
FLO220122B,"mar. 18, 2023",Centro-oeste , Mato Grosso do Sul , Amambai,5000609,Judicialização , Ação Civil Publica,Outros,Povo Guarani-Kaiowá,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,Segurança Territorial​,,Mata Atlântica
FLO040822C,"ago. 4, 2022",Centro-oeste , Mato Grosso do Sul , Amambai,5000609,Comunicativa, Carta Pública de Denúncia Online,Outros,Conselho Tradicional Guarani e Kaiowá Aty Guasu (Atyguasu),Data inicial: 27/07/2022 Data final: 27/07/2022,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes",,Segurança Territorial​,,Mata Atlântica
FLO030822D,"ago. 1, 2022",Centro-oeste , Mato Grosso do Sul , Amambai,5000609,Comunicativa, Vídeo de Denúncia,Outros,Assembleia Geral do povo Kaiowá e Guarani (Atyguasu),Data inicial: 01/08/2022 Data final: 01/08/2022,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes",,"Racismo étnico​
Direito ao território​
Segurança Territorial​",,Mata Atlântica
